,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
4165,59,0,0,99,0,0,13,0,40,5,99
4166,0,0,0,99,0,0,3,0,77,5,99
4167,0,0,0,99,6,0,0,0,90,5,99
4168,0,0,0,99,0,0,9,0,67,7,99
4169,0,1,7,53,0,0,4,1,263,3,53
4170,0,0,0,99,0,0,2,0,17,6,99
4171,0,0,0,99,0,0,0,0,103,9,99
4172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4173,0,0,0,99,0,0,14,0,1,1,99
4174,114,0,0,99,0,0,0,0,11,2,99
4175,0,0,0,99,0,0,0,0,0,0,99
4176,0,0,0,99,0,0,0,0,125,3,99
4177,153,1,4,32,1,5,4,1,62,5,32
4178,0,0,0,99,0,0,0,0,34,2,99
4179,0,0,0,99,0,0,5,0,32,2,99
4180,200,0,0,99,50,9,14,0,364,9,99
4181,66,0,0,99,0,0,1,0,89,7,99
4182,90,0,0,99,59,0,0,0,105,9,99
4183,40,0,0,99,0,0,11,0,14,4,99
4184,353,0,0,99,0,0,2,0,913,9,99
4185,0,0,0,99,8,0,28,0,228,9,99
4186,86,0,0,99,0,0,2,0,894,9,99
4187,103,3,102,21,84,3,6,2,213,6,21
4188,0,0,0,99,0,0,1,0,76,5,99
4189,90,0,0,99,0,0,1,0,417,9,99
4190,118,0,0,99,0,4,1,0,151,8,99
4191,43,0,0,99,1,0,9,0,132,9,99
4192,22,0,0,99,0,0,0,0,38,4,99
4193,170,0,0,99,0,0,0,0,51,9,99
4194,283,0,0,99,0,0,11,0,695,9,99
4195,127,1,3,66,0,6,15,1,62,6,66
4196,0,0,0,99,24,0,0,0,3,1,99
4197,69,0,0,99,2,0,27,0,252,9,99
4198,208,0,0,99,4,0,5,0,210,9,99
4199,66,0,0,99,38,0,12,0,164,8,99
4200,0,0,0,99,0,0,2,0,14,5,99
4201,60,0,0,99,51,0,21,0,104,3,99
4202,24,0,0,99,11,0,0,0,50,5,99
4203,0,0,0,99,0,0,5,0,31,4,99
4204,71,0,0,99,2,0,0,0,202,8,99
4205,70,0,0,99,0,3,1,0,60,3,99
4206,100,0,0,99,0,0,0,0,4,3,99
4207,0,0,0,99,50,0,0,0,25,4,99
4208,205,0,0,99,0,0,14,0,289,9,99
4209,0,0,0,99,0,0,12,0,45,2,99
4210,276,0,0,99,0,0,4,0,299,9,99
4211,168,0,0,99,34,0,0,0,67,3,99
4212,72,0,0,99,3,0,0,0,149,5,99
4213,149,0,0,99,0,0,2,0,646,9,99
4214,118,0,0,99,64,2,23,0,276,9,99
4215,0,0,0,99,0,0,0,0,4,3,99
4216,55,0,0,99,0,0,7,0,68,4,99
4217,0,0,0,99,0,0,2,0,21,3,99
4218,70,0,0,99,0,0,1,0,11,5,99
4219,142,0,0,99,0,0,2,0,47,9,99
4220,0,0,0,99,0,0,3,0,2,3,99
4221,94,0,0,99,0,0,1,0,89,9,99
4222,333,0,0,99,0,0,1,0,95,9,99
4223,110,0,0,99,0,0,2,0,10,7,99
4224,106,2,26,14,6,0,0,2,6,3,14
4225,81,0,0,99,246,6,20,0,72,9,99
4226,192,0,0,99,24,1,18,0,10,8,99
4227,0,0,0,99,0,1,23,0,74,7,99
4228,0,0,0,99,3,0,0,0,95,9,99
4229,0,0,0,99,0,0,6,0,161,9,99
4230,42,0,0,99,9,0,28,0,19,9,99
4231,0,0,0,99,0,0,0,0,222,9,99
4232,202,1,24,40,0,0,8,1,325,9,40
4233,0,0,0,99,0,0,1,0,21,3,99
4234,0,0,0,99,1,0,0,0,3,1,99
