,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
8046,234,1,5,22,78,2,3,1,42,8,22
8047,22,1,14,30,94,6,12,1,10,4,30
8048,122,0,0,99,20,0,5,0,519,9,99
8049,0,0,0,99,0,0,0,0,7,2,99
8050,146,0,0,99,2,0,5,0,391,6,99
8051,68,0,0,99,0,0,11,0,17,9,99
8052,27,0,0,99,78,0,0,0,211,3,99
8053,0,1,4,50,60,0,0,1,89,4,50
8054,0,2,16,16,37,0,0,2,29,3,16
8055,209,0,0,99,1,0,0,0,445,9,99
8056,0,0,0,99,0,0,4,0,146,9,99
8057,116,1,115,7,0,0,0,1,152,5,7
8058,58,0,0,99,0,0,3,0,1,3,99
8059,146,0,0,99,0,0,16,0,142,9,99
8060,112,0,0,99,11,0,6,0,92,7,99
8061,312,0,0,99,0,0,20,0,117,9,99
8062,83,0,0,99,0,0,15,0,198,9,99
8063,77,1,158,16,75,1,17,1,253,9,16
8064,42,0,0,99,0,0,17,0,37,3,99
8065,0,0,0,99,3,0,0,0,66,2,99
8066,0,0,0,99,0,0,1,0,107,5,99
8067,72,0,0,99,0,0,3,0,231,9,99
8068,150,0,0,99,2,0,1,0,223,9,99
8069,51,0,0,99,0,0,15,0,99,9,99
8070,56,0,0,99,0,0,2,0,12,5,99
8071,54,0,0,99,8,4,0,0,24,7,99
8072,11,0,0,99,0,0,2,0,75,4,99
8073,49,2,4,16,102,0,6,2,0,1,16
8074,106,0,0,99,2,0,1,0,266,7,99
8075,0,0,0,99,12,0,20,0,408,7,99
8076,0,2,25,40,41,0,1,1,13,4,40
8077,0,1,10,23,21,0,2,0,67,2,99
8078,157,0,0,99,0,0,0,0,172,6,99
8079,86,0,0,99,0,0,11,0,143,8,99
8080,0,0,0,99,0,2,0,0,10,2,99
8081,0,0,0,99,204,0,10,0,124,6,99
8082,0,0,0,99,5,0,0,0,298,3,99
8083,0,0,0,99,2,0,0,0,144,2,99
8084,142,0,0,99,0,0,21,0,249,9,99
8085,72,0,0,99,23,0,6,0,3,4,99
8086,0,0,0,99,12,0,34,0,46,9,99
8087,520,0,0,99,0,0,0,0,728,9,99
8088,0,2,501,37,267,1,0,1,223,9,39
8089,0,0,0,99,0,0,21,0,190,9,99
8090,84,0,0,99,33,0,22,0,30,9,99
8091,0,0,0,99,0,0,3,0,56,2,99
8092,89,1,3,12,21,0,5,1,3,7,12
8093,122,1,51,52,0,0,1,1,106,6,52
8094,259,1,11,26,15,0,4,0,486,9,99
8095,113,0,0,99,31,3,18,0,28,8,99
8096,106,0,0,99,37,1,3,0,8,3,99
8097,170,0,0,99,0,0,8,0,240,9,99
8098,0,0,0,99,0,0,1,0,239,9,99
8099,0,0,0,99,0,0,27,0,0,0,99
8100,60,3,17,40,10,0,0,2,153,5,40
8101,44,0,0,99,0,0,25,0,83,5,99
8102,0,0,0,99,0,0,27,0,41,3,99
8103,178,0,0,99,0,0,4,0,468,9,99
8104,70,1,110,71,0,0,14,1,34,6,71
8105,0,0,0,99,0,0,23,0,124,8,99
8106,51,0,0,99,29,0,7,0,65,4,99
8107,0,0,0,99,9,0,28,0,88,5,99
8108,419,0,0,99,29,1,2,0,517,9,99
8109,0,0,0,99,7,0,1,0,12,3,99
8110,0,0,0,99,0,0,15,0,99,9,99
8111,97,1,15,36,13,5,20,1,70,4,36
8112,37,0,0,99,0,0,5,0,4,4,99
8113,106,0,0,99,0,0,1,0,246,9,99
8114,0,0,0,99,0,0,0,0,104,6,99
8115,0,0,0,99,0,0,0,0,26,3,99
8116,0,1,20,10,47,4,0,1,28,7,10
8117,168,0,0,99,250,0,5,0,126,9,99
8118,113,0,0,99,0,0,2,0,72,9,99
8119,0,0,0,99,0,0,4,0,22,6,99
8120,75,0,0,99,0,0,7,0,112,7,99
8121,0,0,0,99,0,0,8,0,210,4,99
8122,35,0,0,99,6,0,13,0,134,7,99
8123,0,0,0,99,0,0,15,0,200,3,99
8124,66,0,0,99,7,0,14,0,14,8,99
8125,143,0,0,99,0,0,11,0,668,9,99
8126,79,0,0,99,7,3,25,0,187,4,99
8127,221,0,0,99,0,0,22,0,195,9,99
8128,107,0,0,99,0,0,0,0,211,9,99
8129,82,0,0,99,4,0,15,0,3,4,99
8130,118,0,0,99,6,0,2,0,177,9,99
8131,0,0,0,99,0,0,3,0,1,1,99
8132,0,0,0,99,0,0,2,0,1,2,99
8133,0,0,0,99,0,3,20,0,334,9,99
8134,108,0,0,99,0,0,4,0,283,6,99
8135,105,1,24,51,0,0,23,0,293,9,99
8136,10,0,0,99,0,0,15,0,62,5,99
8137,155,0,0,99,178,0,3,0,63,6,99
8138,136,0,0,99,0,0,0,0,216,9,99
8139,103,0,0,99,13,9,21,0,124,8,99
8140,106,0,0,99,0,0,4,0,237,9,99
8141,56,0,0,99,0,0,12,0,503,9,99
8142,107,0,0,99,0,0,10,0,137,9,99
8143,0,0,0,99,0,0,22,0,74,3,99
8144,79,0,0,99,0,0,3,0,392,9,99
8145,64,1,106,10,109,0,1,1,57,3,10
8146,41,0,0,99,80,0,12,0,88,4,99
8147,114,0,0,99,0,0,13,0,100,6,99
8148,296,0,0,99,0,0,1,0,538,9,99
8149,92,0,0,99,0,0,2,0,150,3,99
8150,55,0,0,99,0,0,14,0,106,8,99
8151,75,0,0,99,0,0,0,0,93,7,99
8152,79,0,0,99,0,0,0,0,150,4,99
8153,105,0,0,99,0,0,2,0,83,3,99
8154,0,0,0,99,0,0,0,0,0,0,99
8155,234,0,0,99,0,0,0,0,1,4,99
8156,0,0,0,99,0,0,0,0,0,0,99
8157,32,0,0,99,0,1,2,0,52,6,99
8158,0,0,0,99,0,0,4,0,108,8,99
8159,142,0,0,99,59,9,4,0,80,9,99
8160,193,0,0,99,174,0,5,0,16,4,99
8161,73,0,0,99,21,0,18,0,25,3,99
8162,24,0,0,99,0,0,10,0,76,5,99
8163,92,0,0,99,0,0,0,0,162,9,99
8164,100,1,4,34,58,0,3,1,19,5,34
8165,129,0,0,99,0,0,6,0,119,9,99
8166,0,0,0,99,8,0,0,0,31,8,99
8167,0,1,2,28,19,0,1,1,32,5,28
8168,0,1,18,17,9,0,17,1,3,3,17
8169,253,0,0,99,0,0,5,0,1,3,99
8170,0,0,0,99,16,0,0,0,1,1,99
8171,0,0,0,99,0,1,1,0,132,6,99
8172,67,0,0,99,0,0,14,0,432,9,99
8173,1,1,3,58,167,0,14,1,13,4,58
8174,164,1,27,13,3,6,9,1,50,6,13
8175,0,0,0,99,0,0,0,0,209,5,99
8176,519,0,0,99,0,0,4,0,659,9,99
8177,0,0,0,99,0,0,25,0,2,1,99
8178,0,0,0,99,0,0,0,0,2,1,99
8179,0,0,0,99,0,0,1,0,94,6,99
8180,75,0,0,99,0,0,7,0,24,7,99
8181,105,0,0,99,40,0,4,0,83,9,99
8182,174,0,0,99,0,0,3,0,999,9,99
8183,0,1,34,47,15,0,1,1,46,4,47
8184,158,0,0,99,0,0,4,0,276,5,99
8185,54,0,0,99,0,0,0,0,49,3,99
8186,48,0,0,99,0,0,17,0,194,9,99
8187,239,0,0,99,0,0,1,0,150,9,99
8188,0,0,0,99,0,0,6,0,118,6,99
8189,27,0,0,99,26,0,10,0,86,7,99
8190,167,2,21,14,7,0,1,2,182,7,14
8191,127,1,32,25,30,0,3,1,351,9,25
8192,0,0,0,99,41,0,0,0,12,5,99
8193,0,0,0,99,0,0,12,0,174,7,99
8194,0,0,0,99,0,0,0,0,484,9,99
8195,0,0,0,99,0,0,6,0,115,2,99
8196,0,0,0,99,0,0,11,0,39,9,99
8197,0,1,27,23,215,0,21,0,198,4,99
8198,62,0,0,99,12,0,5,0,501,9,99
8199,126,0,0,99,0,4,1,0,120,9,99
8200,0,1,13,60,4,0,0,1,192,4,60
8201,167,0,0,99,0,0,3,0,82,8,99
8202,114,0,0,99,0,0,15,0,418,9,99
8203,0,0,0,99,0,0,4,0,227,9,99
8204,140,0,0,99,0,0,6,0,358,8,99
8205,2,0,0,99,0,0,21,0,817,9,99
8206,0,0,0,99,192,0,0,0,5,4,99
8207,213,0,0,99,0,0,0,0,88,4,99
8208,22,0,0,99,18,6,9,0,368,6,99
8209,78,2,10,26,555,0,4,2,79,4,26
8210,0,0,0,99,0,0,5,0,94,9,99
8211,154,0,0,99,0,4,1,0,4,6,99
8212,91,3,89,47,220,0,5,3,1,3,47
8213,175,0,0,99,143,0,8,0,46,5,99
8214,22,0,0,99,0,3,25,0,232,3,99
8215,97,0,0,99,62,0,18,0,335,7,99
8216,69,0,0,99,8,5,6,0,17,9,99
8217,130,1,21,22,64,0,2,1,20,4,22
8218,91,0,0,99,22,0,3,0,20,9,99
8219,97,0,0,99,7,1,6,0,142,9,99
8220,0,0,0,99,4,0,13,0,5,3,99
8221,59,0,0,99,0,0,5,0,19,5,99
8222,0,0,0,99,0,0,2,0,189,9,99
8223,249,0,0,99,0,0,0,0,1,2,99
8224,0,1,8,9,210,0,14,1,132,7,9
8225,0,0,0,99,0,1,8,0,304,9,99
8226,52,0,0,99,0,0,2,0,40,8,99
8227,0,0,0,99,0,0,13,0,221,4,99
8228,72,0,0,99,0,0,1,0,108,9,99
8229,0,0,0,99,0,0,1,0,85,9,99
8230,94,1,22,16,196,0,22,1,51,3,16
8231,51,0,0,99,0,0,7,0,41,9,99
8232,0,2,72,33,825,0,18,2,44,2,33
8233,145,0,0,99,0,0,0,0,281,9,99
8234,0,4,22,23,32,0,0,3,177,3,23
8235,0,0,0,99,0,0,16,0,65,3,99
8236,0,0,0,99,0,0,0,0,49,5,99
8237,66,0,0,99,303,7,8,0,348,9,99
8238,94,2,12,58,13,0,10,1,12,5,58
8239,83,1,3,22,5,0,1,1,141,5,22
8240,104,0,0,99,57,0,9,0,17,7,99
8241,0,0,0,99,0,2,2,0,42,9,99
8242,0,0,0,99,0,0,14,0,33,2,99
8243,0,0,0,99,0,0,5,0,136,9,99
8244,162,1,14,55,0,0,0,0,90,8,99
8245,25,0,0,99,13,6,12,0,145,9,99
8246,92,0,0,99,0,0,1,0,21,4,99
8247,199,0,0,99,0,0,0,0,1,2,99
8248,30,0,0,99,0,0,11,0,306,9,99
8249,0,0,0,99,3,0,0,0,73,5,99
8250,156,0,0,99,0,0,8,0,130,9,99
8251,0,0,0,99,2,0,0,0,133,6,99
8252,50,0,0,99,0,0,1,0,51,5,99
8253,332,0,0,99,0,0,0,0,674,9,99
8254,209,0,0,99,111,0,4,0,837,9,99
8255,0,1,2,69,0,0,2,0,1,2,99
8256,66,0,0,99,0,0,20,0,177,8,99
8257,27,0,0,99,0,0,20,0,26,5,99
8258,34,0,0,99,60,6,3,0,94,7,99
8259,0,0,0,99,8,0,21,0,140,8,99
8260,0,0,0,99,0,0,7,0,83,9,99
8261,0,0,0,99,0,0,2,0,150,6,99
8262,116,0,0,99,0,0,1,0,397,7,99
8263,63,0,0,99,0,0,16,0,58,9,99
8264,0,1,5,70,8,0,0,1,2,3,70
8265,98,0,0,99,0,0,1,0,194,9,99
8266,39,0,0,99,0,0,5,0,94,8,99
8267,150,0,0,99,0,0,16,0,355,6,99
8268,114,0,0,99,0,0,1,0,125,3,99
8269,102,0,0,99,12,0,0,0,1,5,99
8270,143,0,0,99,0,0,0,0,200,7,99
8271,12,0,0,99,0,0,17,0,496,9,99
8272,0,0,0,99,440,0,20,0,288,5,99
8273,136,0,0,99,419,0,0,0,1,5,99
8274,0,0,0,99,6,0,1,0,187,2,99
8275,0,0,0,99,29,0,2,0,48,2,99
8276,0,0,0,99,0,2,6,0,159,7,99
8277,0,0,0,99,0,0,24,0,108,5,99
8278,145,0,0,99,0,0,0,0,133,9,99
8279,93,0,0,99,0,0,2,0,416,8,99
8280,176,0,0,99,43,0,1,0,54,8,99
8281,95,0,0,99,0,0,9,0,15,9,99
8282,94,0,0,99,0,0,4,0,58,6,99
8283,0,0,0,99,0,0,25,0,435,9,99
8284,0,0,0,99,8,0,0,0,77,5,99
8285,132,0,0,99,219,0,2,0,26,9,99
8286,0,0,0,99,0,3,33,0,122,9,99
8287,0,0,0,99,0,0,5,0,55,3,99
8288,107,0,0,99,34,0,0,0,14,6,99
8289,111,0,0,99,0,0,11,0,43,5,99
8290,85,0,0,99,363,0,14,0,119,9,99
8291,112,1,5,50,50,1,0,0,6,9,99
8292,62,1,3,52,17,0,5,0,13,4,99
8293,77,0,0,99,25,0,0,0,138,8,99
8294,126,0,0,99,0,0,2,0,40,4,99
8295,33,0,0,99,0,0,10,0,138,9,99
8296,72,0,0,99,2,1,7,0,58,6,99
8297,71,0,0,99,52,0,6,0,148,9,99
8298,101,0,0,99,0,0,18,0,6,4,99
8299,83,0,0,99,36,0,6,0,486,9,99
8300,97,0,0,99,43,0,3,0,476,9,99
8301,57,0,0,99,6,0,0,0,5,5,99
8302,0,0,0,99,0,0,34,0,30,9,99
8303,0,0,0,99,0,0,1,0,342,6,99
8304,171,0,0,99,161,0,7,0,76,5,99
8305,271,0,0,99,1,0,25,0,409,9,99
8306,556,0,0,99,0,0,0,0,223,9,99
8307,0,2,6,19,12,2,1,1,22,3,20
8308,0,0,0,99,11,0,0,0,235,6,99
8309,109,0,0,99,0,0,0,0,124,9,99
8310,92,2,10,2,5,6,11,2,38,5,2
8311,0,0,0,99,28,0,17,0,122,8,99
8312,33,0,0,99,0,0,6,0,115,6,99
8313,114,0,0,99,3,1,5,0,415,9,99
8314,117,0,0,99,108,0,12,0,29,9,99
8315,90,1,3,24,4,0,21,1,1,6,24
8316,10,0,0,99,0,0,25,0,175,4,99
8317,100,2,7,34,58,0,3,1,152,9,34
8318,70,0,0,99,0,0,7,0,26,9,99
8319,120,0,0,99,9,1,0,0,45,8,99
8320,0,0,0,99,10,0,2,0,2,3,99
8321,109,0,0,99,0,6,27,0,117,9,99
8322,30,0,0,99,0,0,3,0,51,6,99
8323,0,1,5,50,99,6,0,1,88,4,50
8324,0,0,0,99,0,0,9,0,27,4,99
8325,85,0,0,99,0,0,3,0,47,6,99
8326,62,0,0,99,0,0,2,0,21,4,99
8327,0,0,0,99,7,0,10,0,122,5,99
8328,193,0,0,99,0,0,3,0,106,9,99
8329,60,0,0,99,0,0,4,0,20,6,99
8330,43,0,0,99,0,0,0,0,63,9,99
8331,265,0,0,99,0,0,3,0,499,9,99
8332,111,0,0,99,2,8,0,0,42,9,99
8333,101,1,13,46,0,3,6,1,270,9,46
8334,0,3,106,3,217,0,27,3,0,0,3
8335,40,0,0,99,0,2,31,0,97,9,99
8336,0,0,0,99,4,0,31,0,36,5,99
8337,16,0,0,99,0,0,3,0,108,9,99
8338,0,0,0,99,21,0,7,0,61,9,99
8339,53,1,2,21,124,0,9,1,31,5,21
8340,0,0,0,99,0,0,0,0,93,8,99
8341,0,0,0,99,0,0,7,0,35,9,99
8342,0,0,0,99,3,0,17,0,304,3,99
8343,110,0,0,99,0,0,10,0,225,9,99
8344,84,0,0,99,40,0,13,0,118,3,99
8345,25,0,0,99,0,0,9,0,92,9,99
8346,56,0,0,99,0,0,7,0,182,9,99
8347,0,0,0,99,0,0,4,0,23,1,99
8348,53,0,0,99,0,0,6,0,66,9,99
8349,72,0,0,99,8,0,8,0,69,9,99
8350,0,0,0,99,0,0,0,0,0,0,99
8351,0,0,0,99,0,0,0,0,0,0,99
8352,0,0,0,99,0,0,1,0,69,3,99
8353,0,0,0,99,0,0,3,0,122,2,99
8354,0,0,0,99,1,0,16,0,348,9,99
8355,0,2,5,57,5,0,23,2,185,5,57
8356,90,0,0,99,86,0,5,0,382,9,99
8357,60,0,0,99,55,0,7,0,249,3,99
8358,0,0,0,99,0,0,0,0,27,2,99
8359,0,1,1,13,85,0,1,1,60,2,13
8360,0,0,0,99,2,0,1,0,1,1,99
8361,0,0,0,99,0,4,3,0,56,5,99
8362,0,0,0,99,21,0,0,0,36,1,99
8363,0,1,9,33,48,0,8,1,78,4,33
8364,0,0,0,99,10,0,1,0,1,1,99
8365,0,0,0,99,45,1,4,0,236,3,99
8366,148,0,0,99,0,0,1,0,255,9,99
8367,64,0,0,99,40,0,18,0,1,2,99
8368,0,0,0,99,0,0,0,0,81,1,99
8369,0,0,0,99,0,0,0,0,36,4,99
8370,89,0,0,99,0,0,8,0,313,9,99
8371,315,0,0,99,0,0,1,0,674,9,99
8372,125,0,0,99,0,0,0,0,51,3,99
8373,146,0,0,99,6,1,0,0,158,9,99
8374,0,0,0,99,0,0,27,0,70,3,99
8375,8,1,4,63,6,0,15,1,19,2,63
8376,110,0,0,99,0,0,6,0,94,9,99
8377,188,0,0,99,0,0,2,0,684,8,99
8378,0,0,0,99,0,0,0,0,104,9,99
8379,118,0,0,99,43,0,0,0,39,6,99
8380,91,0,0,99,12,0,1,0,9,5,99
8381,244,0,0,99,0,0,11,0,99,9,99
8382,0,0,0,99,0,0,16,0,346,6,99
8383,137,0,0,99,0,0,3,0,187,9,99
8384,665,0,0,99,204,0,0,0,155,6,99
8385,0,0,0,99,0,0,12,0,43,7,99
8386,20,1,19,57,0,0,20,1,75,4,57
8387,0,0,0,99,91,0,22,0,1,1,99
8388,0,0,0,99,4,0,5,0,111,6,99
8389,98,0,0,99,0,0,3,0,237,9,99
8390,25,0,0,99,0,0,12,0,74,6,99
8391,0,0,0,99,0,0,6,0,94,2,99
8392,155,0,0,99,0,0,3,0,75,9,99
8393,0,0,0,99,6,1,4,0,65,5,99
8394,0,0,0,99,2,0,0,0,298,4,99
8395,0,0,0,99,0,0,0,0,113,2,99
8396,0,3,11,24,8,0,0,3,99,3,24
8397,0,0,0,99,117,0,0,0,88,9,99
8398,101,0,0,99,0,1,6,0,145,9,99
8399,42,0,0,99,7,0,8,0,113,3,99
8400,85,0,0,99,0,0,1,0,123,9,99
8401,147,1,2,70,82,0,25,1,201,8,70
8402,87,1,2,62,17,5,2,0,29,6,99
8403,0,1,12,72,10,0,22,0,42,3,99
8404,94,0,0,99,0,0,6,0,374,9,99
8405,0,0,0,99,6,0,0,0,23,7,99
8406,40,0,0,99,2,0,16,0,162,9,99
8407,123,0,0,99,2,0,8,0,13,9,99
8408,121,0,0,99,0,0,3,0,181,9,99
8409,73,0,0,99,0,0,3,0,183,7,99
8410,262,0,0,99,0,0,1,0,103,6,99
8411,103,0,0,99,29,0,4,0,0,1,99
8412,78,0,0,99,0,0,9,0,1,3,99
8413,137,4,162,1,165,6,6,4,206,9,1
8414,19,0,0,99,0,0,13,0,340,9,99
8415,0,0,0,99,12,0,0,0,178,3,99
8416,192,0,0,99,0,0,2,0,420,8,99
8417,0,0,0,99,0,0,7,0,277,8,99
8418,35,1,3,17,10,0,6,1,3,4,17
8419,0,0,0,99,59,0,2,0,5,1,99
8420,0,0,0,99,0,0,0,0,114,6,99
8421,174,2,8,21,0,0,16,1,27,2,54
8422,101,1,5,39,0,0,11,1,112,6,39
8423,88,0,0,99,0,0,13,0,438,9,99
8424,61,0,0,99,0,0,1,0,528,9,99
8425,67,0,0,99,0,0,0,0,191,9,99
8426,49,0,0,99,0,0,2,0,176,5,99
8427,241,0,0,99,0,0,2,0,286,8,99
8428,116,0,0,99,0,0,2,0,439,9,99
8429,56,0,0,99,0,0,3,0,155,9,99
8430,0,0,0,99,0,0,6,0,286,8,99
8431,172,0,0,99,27,0,5,0,131,7,99
8432,27,3,8,6,0,0,7,3,53,5,6
8433,58,0,0,99,33,0,17,0,534,9,99
8434,66,0,0,99,0,0,0,0,58,4,99
8435,0,0,0,99,0,0,0,0,35,9,99
8436,66,0,0,99,0,0,7,0,63,9,99
8437,0,0,0,99,0,0,2,0,68,8,99
8438,0,0,0,99,0,0,0,0,61,7,99
8439,7,0,0,99,10,0,21,0,222,5,99
8440,100,1,2,43,6,0,4,0,20,4,99
8441,173,0,0,99,0,0,0,0,126,7,99
8442,144,0,0,99,0,0,15,0,427,9,99
8443,145,0,0,99,0,0,0,0,280,9,99
8444,129,1,10,28,5,2,9,1,16,7,28
8445,97,0,0,99,0,0,4,0,64,6,99
8446,0,0,0,99,76,0,1,0,9,4,99
8447,145,0,0,99,45,0,10,0,155,8,99
8448,208,0,0,99,10,0,6,0,55,9,99
8449,196,0,0,99,0,0,7,0,123,9,99
8450,0,0,0,99,0,0,0,0,150,9,99
8451,117,0,0,99,0,0,0,0,105,5,99
8452,66,0,0,99,0,0,7,0,45,8,99
8453,167,0,0,99,0,0,1,0,21,3,99
8454,77,0,0,99,0,0,7,0,141,5,99
8455,235,0,0,99,0,0,1,0,267,6,99
8456,20,0,0,99,0,0,0,0,86,6,99
8457,203,0,0,99,0,0,6,0,135,9,99
8458,0,0,0,99,0,0,15,0,31,5,99
8459,0,0,0,99,0,0,5,0,138,6,99
8460,0,0,0,99,1,0,15,0,11,3,99
8461,71,1,41,56,141,2,5,0,102,3,99
8462,0,0,0,99,0,0,1,0,245,5,99
8463,83,0,0,99,0,0,10,0,64,6,99
8464,0,0,0,99,0,0,12,0,45,3,99
8465,38,0,0,99,8,0,5,0,246,9,99
8466,0,1,8,12,233,0,5,1,7,1,12
8467,50,0,0,99,0,0,0,0,37,4,99
8468,0,0,0,99,9,0,3,0,2,4,99
8469,0,0,0,99,0,0,6,0,77,7,99
8470,0,0,0,99,6,0,7,0,12,5,99
8471,48,0,0,99,0,0,5,0,290,9,99
8472,42,0,0,99,0,0,2,0,373,9,99
8473,0,0,0,99,0,0,0,0,5,4,99
8474,122,0,0,99,1,0,1,0,104,9,99
8475,50,0,0,99,0,0,1,0,42,5,99
8476,91,0,0,99,0,0,4,0,156,6,99
8477,0,0,0,99,0,0,0,0,0,0,99
8478,0,0,0,99,0,0,0,0,18,2,99
8479,0,0,0,99,0,0,2,0,148,3,99
8480,111,0,0,99,0,0,0,0,78,6,99
8481,0,0,0,99,0,0,0,0,1,2,99
8482,0,0,0,99,23,0,0,0,151,6,99
8483,299,0,0,99,4,4,1,0,95,2,99
8484,0,0,0,99,0,0,6,0,48,5,99
8485,0,0,0,99,12,0,1,0,93,7,99
8486,94,1,14,48,23,0,27,1,63,8,48
8487,0,0,0,99,36,0,0,0,10,3,99
8488,0,0,0,99,18,0,1,0,0,0,99
8489,203,3,160,27,0,0,21,2,10,5,27
8490,237,0,0,99,0,0,1,0,10,4,99
8491,0,1,7,32,7,0,0,1,135,2,32
8492,165,0,0,99,0,0,0,0,226,9,99
8493,42,0,0,99,0,0,4,0,248,7,99
8494,0,0,0,99,2,0,1,0,129,4,99
8495,143,1,102,11,73,9,17,1,105,3,11
8496,125,0,0,99,0,0,5,0,112,9,99
8497,0,1,7,29,28,0,0,1,52,2,29
8498,33,0,0,99,0,0,16,0,3,5,99
8499,67,0,0,99,0,4,2,0,206,9,99
8500,47,1,11,22,1,0,1,1,25,3,22
8501,0,0,0,99,0,0,28,0,393,5,99
8502,0,0,0,99,0,0,0,0,1,1,99
8503,243,1,28,42,50,0,3,1,103,9,42
8504,0,0,0,99,0,0,1,0,84,6,99
8505,0,0,0,99,0,0,0,0,55,9,99
8506,0,0,0,99,0,0,3,0,0,0,99
8507,191,0,0,99,0,0,4,0,600,9,99
8508,69,0,0,99,0,0,1,0,0,1,99
8509,94,0,0,99,0,0,1,0,746,9,99
8510,0,0,0,99,6,0,5,0,46,3,99
8511,325,1,27,1,0,0,3,1,400,9,1
8512,0,0,0,99,0,0,6,0,169,9,99
8513,57,0,0,99,9,0,1,0,25,6,99
8514,0,0,0,99,73,0,0,0,75,4,99
8515,48,1,3,16,5,0,10,0,153,9,99
8516,0,0,0,99,0,0,4,0,241,5,99
8517,0,0,0,99,0,0,7,0,58,3,99
8518,89,0,0,99,0,0,5,0,93,9,99
8519,103,1,34,53,14,0,13,1,61,4,53
8520,56,0,0,99,0,0,0,0,9,5,99
8521,148,0,0,99,0,0,13,0,214,9,99
8522,66,1,11,14,2,0,3,1,0,2,14
8523,56,0,0,99,406,9,6,0,151,7,99
8524,81,0,0,99,72,0,0,0,169,9,99
8525,70,0,0,99,0,0,5,0,1,2,99
8526,14,0,0,99,0,0,22,0,78,2,99
8527,135,0,0,99,0,0,12,0,279,9,99
8528,0,0,0,99,0,0,0,0,12,1,99
8529,0,0,0,99,0,0,2,0,161,3,99
8530,132,0,0,99,80,0,4,0,74,9,99
8531,104,0,0,99,58,0,6,0,240,9,99
8532,57,1,5,51,0,0,30,0,137,7,99
8533,0,0,0,99,344,2,9,0,232,8,99
8534,0,0,0,99,0,0,24,0,105,4,99
8535,0,0,0,99,0,0,0,0,367,9,99
8536,0,0,0,99,0,0,7,0,65,5,99
8537,41,0,0,99,0,0,5,0,210,7,99
8538,31,0,0,99,0,0,24,0,180,9,99
8539,0,0,0,99,0,0,4,0,402,7,99
8540,79,1,4,26,2,0,5,1,1,3,26
8541,0,0,0,99,2,0,23,0,212,6,99
8542,70,0,0,99,0,0,16,0,67,5,99
8543,151,0,0,99,0,1,1,0,25,9,99
8544,0,0,0,99,0,0,5,0,254,9,99
8545,38,0,0,99,0,1,4,0,50,4,99
8546,0,0,0,99,0,0,3,0,33,5,99
8547,0,0,0,99,0,1,0,0,1,2,99
8548,0,0,0,99,16,0,5,0,85,3,99
8549,0,0,0,99,0,0,0,0,35,3,99
8550,0,0,0,99,0,0,7,0,74,9,99
8551,0,0,0,99,0,0,0,0,31,4,99
8552,0,0,0,99,14,0,0,0,0,0,99
8553,140,0,0,99,24,9,0,0,429,9,99
8554,0,2,16,14,90,0,0,1,65,2,14
8555,0,2,10,56,3,0,26,2,27,9,56
8556,0,0,0,99,54,0,0,0,32,5,99
8557,137,0,0,99,0,0,0,0,244,9,99
8558,0,1,17,49,92,0,6,0,348,9,99
8559,0,0,0,99,4,3,0,0,12,5,99
8560,0,0,0,99,0,0,4,0,55,7,99
8561,180,0,0,99,2,0,5,0,2,6,99
8562,0,0,0,99,0,0,0,0,111,3,99
8563,125,0,0,99,0,0,0,0,340,9,99
8564,0,0,0,99,0,0,0,0,39,2,99
8565,0,0,0,99,9,0,14,0,106,9,99
8566,0,0,0,99,0,0,6,0,78,9,99
8567,0,0,0,99,1,0,6,0,220,7,99
8568,0,0,0,99,0,0,7,0,335,7,99
8569,491,1,18,38,999,0,0,0,8,6,99
8570,0,0,0,99,0,0,7,0,239,6,99
8571,188,0,0,99,0,0,3,0,53,3,99
8572,189,0,0,99,111,0,8,0,62,4,99
8573,37,0,0,99,0,0,15,0,39,9,99
8574,330,0,0,99,4,4,12,0,340,9,99
8575,0,1,1,11,2,0,9,1,20,4,11
8576,209,0,0,99,0,1,26,0,417,9,99
8577,0,0,0,99,0,0,14,0,312,5,99
8578,0,0,0,99,0,0,0,0,256,1,99
8579,41,0,0,99,0,1,25,0,184,8,99
8580,128,0,0,99,25,0,2,0,95,7,99
8581,474,0,0,99,0,0,0,0,89,7,99
8582,140,0,0,99,0,0,0,0,185,9,99
8583,111,2,69,16,59,0,6,1,44,4,16
8584,124,0,0,99,29,0,18,0,104,9,99
8585,0,0,0,99,0,0,22,0,313,2,99
8586,0,0,0,99,0,0,11,0,50,6,99
8587,371,0,0,99,4,0,0,0,5,7,99
8588,33,0,0,99,63,2,14,0,131,9,99
8589,208,0,0,99,0,0,0,0,9,7,99
8590,107,0,0,99,0,0,0,0,14,3,99
8591,0,0,0,99,0,0,0,0,31,5,99
8592,0,1,3,40,19,0,1,1,3,3,40
8593,0,0,0,99,0,0,6,0,142,8,99
8594,75,0,0,99,0,0,1,0,96,6,99
8595,0,0,0,99,0,0,25,0,116,3,99
8596,0,0,0,99,0,0,2,0,128,4,99
8597,96,0,0,99,0,0,0,0,181,9,99
8598,0,0,0,99,0,0,13,0,153,9,99
8599,0,0,0,99,0,0,3,0,14,4,99
